file,t_mid,status,lag_s,rms_dbar,sharpness,ambiguity,n_overlap
CAS_056,1488031345.0,ok,-562.0,0.13687168616612608,395.4995443208609,272.8710566309902,8666
CAS_057,1488041818.5,ok,-561.75,0.17458057104890495,291.08920241229725,183.29409574151708,10655
CAS_058,1488052766.5,ok,-561.5,0.12793878265181713,417.90264822978764,266.2389937763087,8599
CAS_059,1488063385.0,ok,-562.5,0.1392377301226306,361.4281789322983,246.9705147101368,10576
CAS_060,1488074718.0,ok,-562.75,0.11085832552698249,419.7177474193085,259.42712567798134,10064
CAS_061,1488085511.0,ok,-562.5,0.10822644461816353,454.20997003461224,259.5979009154974,10252
CAS_062,1488096186.5,ok,-562.5,0.11029359897658014,487.65653114503414,344.7228335681028,8547
CAS_063,1488106697.5,ok,-562.5,0.1224274258276621,398.54375768788196,263.6053962096145,10805
CAS_064,1488117765.5,ok,-562.25,0.13577368781050844,389.33371770829416,272.050026540819,9463
CAS_065,1488128615.5,ok,-561.75,0.13591071034393376,338.39409319331054,200.1654919301653,10917
CAS_066,1488136048.5,ok,-563.0,0.08362083822309645,540.1102099547236,30.51715960778829,2599
CAS_067,1488143045.0,ok,-563.0,0.11988450714788576,449.30479402493546,286.643877513778,8682
CAS_068,1488153479.5,ok,-562.75,0.0945245434961594,522.5841571021175,354.21722471106943,10591
CAS_069,1488164966.0,ok,-562.5,0.11061698372786492,433.04677972695873,315.69254103634853,10194
CAS_070,1488175875.0,ok,-562.75,0.10846393070808141,470.366803672495,297.2937181395842,9546
CAS_071,1488187788.5,ok,-562.75,0.10940559324439449,446.27195492326337,275.74464906834356,11277
CAS_072,1488210852.0,ok,-562.25,0.14787141913304072,332.8476488860756,221.55763412744903,10408
CAS_073,1488221438.5,ok,-563.25,0.1334059581507743,407.75855046052436,283.71578912522784,8767
CAS_074,1488232053.5,ok,-563.25,0.13486867887930926,365.6415382605035,254.93497617617464,10677
CAS_075,1488243150.0,ok,-563.25,0.11366697563451748,446.12707683478976,339.9287992231292,9462
CAS_076,1488253911.5,ok,-562.75,0.13410407866129076,357.88964946453535,260.5375521395231,10281
CAS_077,1488261485.0,ok,-562.5,0.12736761476681616,236.4034914384699,42.56668672684912,2544
CAS_078,1488264588.5,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
CAS_079,nan,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
CAS_080,nan,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
